timestamp,coin,price,market_cap,volume
2026-03-23 19:29:15.250384,bitcoin,71337.0,1426258474486.666,48017978680.673775
2026-03-23 19:29:15.250384,ethereum,2178.8,262753479087.8257,24655243942.81729
2026-03-23 19:34:15.625872,bitcoin,71557.0,1430634567123.2842,48247070978.44168
2026-03-23 19:34:15.625872,ethereum,2186.17,263661032688.97913,24778271774.06902
2026-03-23 19:39:16.009613,bitcoin,71560.0,1431380313427.6504,48643153245.063805
2026-03-23 19:39:16.009613,ethereum,2184.77,263787273755.33923,24967169373.45648
2026-03-23 19:44:16.440766,bitcoin,71615.0,1432591982220.9045,48858210149.68237
2026-03-23 19:44:16.440766,ethereum,2183.76,263882936256.4011,24429195192.425964
2026-03-23 19:49:16.895294,bitcoin,71664.0,1432489491352.6167,49304112581.89049
2026-03-23 19:49:16.895294,ethereum,2184.72,263474665943.492,25290946469.774265
2026-03-23 19:54:17.327997,bitcoin,71444.0,1429101565877.4563,44388122021.021576
2026-03-23 19:54:17.327997,ethereum,2180.56,263075112842.36227,25359902232.430767
2026-03-23 19:59:17.825609,bitcoin,71404.0,1430387385604.6572,49653037228.97441
2026-03-23 19:59:17.825609,ethereum,2179.56,263516285614.33322,25494222466.523827
2026-03-23 20:04:18.974015,bitcoin,71338.0,1427373902597.8477,49629929298.31654
2026-03-23 20:04:18.974015,ethereum,2175.55,262818547560.29916,24824625870.45577
2026-03-23 20:09:19.401863,bitcoin,71331.0,1426822130830.5146,49417610601.00289
2026-03-23 20:09:19.401863,ethereum,2176.05,262627750321.02878,25672967233.714214
2026-03-23 20:14:19.779913,bitcoin,71434.0,1429084176418.523,50037831952.58987
2026-03-23 20:14:19.779913,ethereum,2177.22,262951162914.39816,25603175478.228603
2026-03-23 20:19:39.583386,bitcoin,71280.0,1425553484799.6987,50154488601.19047
2026-03-23 20:19:39.583386,ethereum,2174.59,262148431504.64697,25840245733.00462
2026-03-23 20:24:40.400142,bitcoin,71178.0,1423759537007.7673,50161745661.78613
2026-03-23 20:24:40.400142,ethereum,2173.12,262277028490.4407,25854363857.782036
2026-03-23 20:29:42.826038,bitcoin,71377.0,1425484753390.272,50442967990.90168
2026-03-23 20:29:42.826038,ethereum,2178.49,262482305723.7095,26027848911.48097
2026-03-23 20:34:44.799584,bitcoin,71569.0,1430492041059.3538,50698591011.670975
2026-03-23 20:34:44.799584,ethereum,2183.78,263422716462.90027,25337478468.00892
2026-03-23 20:39:46.460836,bitcoin,71490.0,1430000052851.9392,50581673496.55395
2026-03-23 20:39:46.460836,ethereum,2183.42,263490815616.80368,25393085527.65191
2026-03-23 20:44:47.754466,bitcoin,71381.0,1430000052851.9392,50602324788.84443
2026-03-23 20:44:47.754466,ethereum,2180.12,263490815616.80368,25382274975.391457
2026-03-23 20:49:51.022347,bitcoin,71217.0,1426953331927.3694,50863496686.236374
2026-03-23 20:49:51.022347,ethereum,2173.62,262886147456.8309,26275216026.140305
2026-03-23 20:54:51.860766,bitcoin,71057.0,1421320852600.2527,51036142949.1777
2026-03-23 20:54:51.860766,ethereum,2170.43,261944370779.65088,26355278968.10181
2026-03-23 20:59:53.014998,bitcoin,70906.0,1419869555898.843,51679737612.01102
2026-03-23 20:59:53.014998,ethereum,2165.49,261656679333.50177,26410217040.44025
2026-03-23 21:04:53.753621,bitcoin,70873.0,1417863330636.581,51223915244.50678
2026-03-23 21:04:53.753621,ethereum,2164.03,261194500523.0549,25704623077.923523
2026-03-23 21:09:54.553554,bitcoin,70769.0,1417090811987.0154,52037070207.58626
2026-03-23 21:09:54.553554,ethereum,2157.15,260708372923.64496,26604187630.968517
2026-03-23 21:17:05.585621,bitcoin,70560.0,1412895414111.7761,51269571238.37449
2026-03-23 21:17:05.585621,ethereum,2145.11,259415664617.1368,26898311770.510254
2026-03-23 21:22:07.405644,bitcoin,70800.0,1415290725230.7075,52442014970.69168
2026-03-23 21:22:07.405644,ethereum,2154.42,259791834506.79224,27129505350.78099
2026-03-23 21:27:09.236968,bitcoin,70302.0,1411650877350.6675,51782844501.46067
2026-03-23 21:27:09.236968,ethereum,2133.15,258621691419.79376,26676244297.084106
2026-03-23 21:32:09.978269,bitcoin,70155.0,1403697295352.399,52490483627.732666
2026-03-23 21:32:09.978269,ethereum,2129.76,256911560246.49573,26395422750.08959
2026-03-23 21:38:26.792884,bitcoin,70299.0,1404872085083.3977,53042086852.64605
2026-03-23 21:38:26.792884,ethereum,2133.39,257387216920.03986,27334147174.096985
2026-03-23 21:43:27.450206,bitcoin,70411.0,1406360005996.0774,53044416699.06739
2026-03-23 21:43:27.450206,ethereum,2136.88,257508372146.47006,27391970573.791557
2026-03-24 09:30:09.125773,bitcoin,70505.0,1410521578472.4375,51483316221.93438
2026-03-24 09:30:09.125773,ethereum,2140.2,258361793286.366,27877107237.035854
2026-03-24 09:35:09.958322,bitcoin,70511.0,1410584147354.5222,51584516489.98008
2026-03-24 09:35:09.958322,ethereum,2141.74,258467745936.6264,26329176220.501728
2026-03-24 09:40:11.829328,bitcoin,70643.0,1412778594281.1826,51552681438.27095
2026-03-24 09:40:11.829328,ethereum,2147.24,259016424560.61304,26407963002.396797
2026-03-24 09:45:12.416492,bitcoin,70623.0,1412778594281.1826,50617356157.10773
2026-03-24 09:45:12.416492,ethereum,2145.8,259016424560.61304,27207811788.77456
